title,review,score
"No service, garbage product, not happy!","I got an iPhone 5C abt a year ago. It doesn't work with a screen protector or case, everyone constantly tells me they can never get me, the screen regularly won't recognise my touch etc.... I could go on. The service I've received has been just as bad. I'm basically paying for a phone that doesn't work 85% of the time. Soooo frustrating!!!!!",1
breech of my privacy,"After someone possibly in a managerial position provided my partner with details of my text messages, l was askedvto fill out a for so an investigation can take place. Well vodafone did the investigation, and decided to close it without imforming me. When l called to find out where they were with the investigation l was told it was closed. When l rang and spoke to a manager, l was hunk up on after which l tried again and promised a call back to explain why it had been closed and l was not contacted. Well guess what..... they have not contacted me. I believe the person who breeched my privacy was the very same one who closed the investigation. My advise to all. DONT TRUST THIS COMPANY.",1
Misleading - Should have known better than to trust them.,Lost $50 on a short term contract trying to use their $5 a day overseas roaming option.,1
Terrible Customer Service,"I had been with Vodafone for over 6 years. They used to have their call centre in India however recently had it moved to Australia. Worst mistake ever. They seem to have travellers/people who aren't committed to the need working there--its awful. The last time I phoned i was so upset with the level of service that I told the lady on the line that I would like to cancel, she responded by saying ""that's fine by me."" That says it all right there. Needless to say, I have switched over to another provider.",1
I feel guilty to put on star cause I despise this company!!,Start everything with a discount of 5$ when I bought the SIM and after few weeks I get a bill with 5$ to pay...Payment online haven't works one and calling the service make u want shoot on your feet to feel less pain...Cherry on top I was going around happily with using the gps on my phone and a message pop up saying that they disconnect my service cause they dont have my update address... f______ b________ ....First shop I found of a different company I switch to them in 15 min keeping the same number...,1
Good service,"Vodafone have been myMobile phone service provider for  many years, I am very happy with them and have no desire to change service provider. Their customer service is great!",4
Be aware of vodafone's crappy service when renewing plan!,"I got  call from vodafone today informing that i have fully paid for my plan and requesting whether I would like to renew the contract with a new phone. I just forgot that I had two connections and the customer service didn't even reminded me about this and offered me an expensive plan and locked me in to the contract. After 10 minutes I realized that I had another connection and tried to asked from Vodafone whether its possible to  cancel or hold the order. They just kept me on hold for 25 mins and cut the line. I called them again and they kept me on hold for 15 mins and informed that no supervisors are available.

Then I received a text message from vodafone saying that they couldn't contact me. Its strange that only they cant call me back on my phone. Finally after 6 hours they said they have dispatched the order to the warehouse and they cant do anything regardless I have tried to call them several times. Also they said now I cant change the plan to a lower rate one and I can only upgrade it to a higher one. What they basically do is to grab as much as possible from a customer. Though I have been with Vodafone for 8+ years what they have offered me is same as the plan they have offered to a friend of mine who came to Australia only 4 months back! I will definitely change the provider next time. I'm sure no other provider has a crappy service as Vodafone.They trap you asking you to finalize the deal on same day. Just don't believe what they say...they just try to sell and trap you for two years.

Ran",1
Mobile phone service: I am generally happy with Vodafone,"Just talking mobile phone service hereI was with THREE about 7 years ago. How time flies. Then THREE was taken over by Vodafone.Everything was smoothly transferred, that was good.I was unhappy with them when Iphone 5 was first released because I could not get one before a certain day as the phone was so popular.Today I called and tried to find out if there is any better deal available before I leave them. 
The man on the other end said he could help me to find a better deal. 
Now, I got, 3G data, unlimited calls national wide, $300 mins international calls and it was for $50, now I get it for $35. No contract. I have also get this done for my wife. 

I feel happy.",4
Be mindful with service,I m with vodafone for 7 years and when i renewed my contract they put me on $ 30 cap (post paid) plan and told me that i will be charged for vodafone to vodafone. The plan i had if before was $29 cap and vodafone calls were free but not now. This is a reward for their old customers. My mistake is i already aggred to that plan in hurry but now i have decided to shift to another provider after this contract and never recommend to anyone to go with vodafone. Well my 4 friends already droped the vidafone soon my rest of the friends will go away too. Ridiculous and shame on Vodafone that their old customers are not happy who stayed so long with them.,1
Swapping a phone,"Hi VodafoneI am Vodafone customer from many years. Two days ago, my phone stopped charging. I was told that charging port is faulty & I was unable to use my phone. But thanks to Vodafone Epping store, they took my faulty phone & gave me other phone. Thanks Vodafone & I hope.... I will keep using vodafone service in future tooCheers",4
Extremely Poor service,"Hi Guys,I have recently applied online for a Prepaid $50 Cap Starter Pack (At discounted rate of AUD25) from Vodafone on 07 May 2015. I was assured on email that the order with a sim card will be delivered in 2 to 3 working days. Till the time of writing this piece (Almost 5 days) I have not received any communication from vodafone. Though I am struggling to put across my valid point to Customer service who is not cooperating and and sounding too arrogant. I have been advised the following in online chat (Copying and pasting text) ""There are many reason why there can be delays with deliveries and we get that this is convenient for our customers"". Can anyone explain me how a delay can be convenient for a customer?? Now they refuse to even cancel my order and refund money also.
This is disgusting and deficient service. Hope Vodafone guys listen to this and improve their service levels.",1
Why the low rating?,"I have been with Vodafone for more than 5 years. I have to admit that Telstra and Optus are getting more competitive lately, but still, I think it doesn't justify the sheer numbers of of bad reviews written here about Vodafone.e plans offered by Vodafone at quite a competitive rate, which really, I have nothing to complain about.

In-store customer service has been consistently good. I have spoken to a few of their sales person since looking for a new mobile phone starting January this year, and they have all been fantastic (young, energetic geeks to be more precise). I don't go to franchise stores found in major shopping centres, rather, I unleashed all my queries and signed my contracts only in main Vodafone shops. In my opinion, I think one would easily get the best deals and services out of such venues.",5
about average,I bought a prepaid pre paid Vodafone Nokia 6220 phone from Woolworths fairy meadow/ the actual Nokia phone was great though I found that the using the internet was a time consuming effort and that sometimes making phone calls was hard so I decided to switch to telstra and never looked back,3
They kept billing me for a year and a half after I cancelled my service.,"Pros: Very slightly cheaper than other companies.
By far the worst phone company I have ever been with. So many issues.",1
Terrible service and coverage,"I bought a note edge through a vodafone store. The seller did not inform me of what Vodafone offers different contracts bought online vs a shop. When I found out two days later helpdesk didn't care. The shop said they didn't know what was sold online.... They offered me a bluetooth adapter and a case. I told them I just wanted a proper Samsung case. They told me it wasn't available yet. I returned a month later and asked for it. Now they said they didn't sell them. So I got nothing for giving up being an Optus customer and move to Vodafone - lesson learned not to believe what they tell you and promise you in their stores. 

The coverage where I live and even right in the middle of the CBD of Sydney is terrible. I was told by their support to wait 1-2 weeks as they were improving it, but no difference. They offered me $10 rebate for three months... as if that helps a very poor connection.

Update three months on: No change in reception in the CBD or where I live. Nobody from Vodafone has contacted me despite I named the specific store that gave me a poor service. Clearly Vodafone got me signed up and they are happy that I have to pay them for the period of my contract. That I will quit and never return afterwards is something they don't care about.",1
"Suspicious billing, disappointing customer service, slow 3G, among others","If you rely on mobile data a lot, don't choose Vodafone. The 3G is very slow. Moreover, if you have a dispute and need to contact them to resolve the issue, their customer service is extremely poor. When I switched to another provider, they provided me with the wrong account number, which delayed the documentation process. For this reason, I could not end Vodafone's service by the end of the billing cycle and was one day in the next billing cycle. They insisted on charging me the full monthly charge, despite me bringing up the account number incident. The issue was not resolved until I lodged a complaint with the Telecommunications Ombudsman. However, after agreeing to calculate my final bill on a pro rata basis, they issued me with a dodgy bill that was 30$ overcharged. I found out they included a mobile broadband charge for another number, which I never used. I am now lodging another complaint with the Ombudsman to resolve the new issue. The entire business was just annoying, time consuming and disappointing. Definitely won't recommend Vodafone for any one!",1
Pay As you Go Service is a Trap,"I and my entire family has been on Vodafone for a long time, there was never a time we had seamless service always had some or the other issues.Now we are on pay as you go plan - please make sure you top up your balance at the end of 30 days expiry after that you will lose all our credit, there is no grace days what so ever.I really feel the company is solely profit motivated.We have now decided to go with Telstra",1
Pay As you Go Service is a Trap,"The end is near for auto recharge, From 30 June 2015, Vodafone is switching off auto recharge service. This means more traps for people to lose their carry forward credits.",1
Over promise and under deliver!,"CS dont seem to know whats happening. Billing errors. Subscription errors. Every experience seems to be geting worse, the problems are closed and resolved when nothing is fixed. Called 12 times and the info was different every single time. how are these guys even operating?? Its a disaster and shocking !!",1
Disaster! stay clear,"had been with vodafone for 4 years and now decided to shift to another provided. renewed a contract 24 months ago, was told tat I can get 2 months free for renewing customer but then they only gave 1 month free instead of 2 months which i was told earlier. 2 years with Vodafone and I had enough of it, vodafone told me to call back to cancel contract before 25 april so that i can get my a-month advanced payment back and I did that on the 23rd April. Received bill today and made me paid for another month of payment and yet not giving back my money. Ridiculous!",1
Vodafone money grab to boost profits,I  accidentally paid my husbands Vodafone bill  and my bill 5 days late and for that they grabbed $10.00 for each bill. They advise you on the bill that they will do this and I could understand it if we were 14 days late but less than a week on bills totalling $261.98 It is totally disgusting. treating customers this way.We have a small business and we have customers owe us far more money for longer and we don't treat them this way. Vodafone I am leaving you ASAP purely because of your money grab and you will never get late fees from me anymore.,1
Just Avoid,Good luck if you are with these theives.  Customer service is terrible.  If they cant help they transfer you and put you on hold for min 20mins each time.  Phone always drops out because of bad network infrastructure so 60% of time your phone will have no reception and you are unreachable.,1
Overpromise Under Deliver,Signed up to an upgrade plan 2 months before my existing plan expired.,1
VODAFAIL,"This Vodafone is sucks.Customer Care doesnt care really.They don't pay much attention to the existing customers.All they care is how much do you want to upgrade and all that meaning they only care about money..Customer service is epic fail,there department in handling a complaint was sooo rude..I cant wait to end my contract soon...so disappointed today how they handle my plan...They dont listen to what you want they only do what they want to your plan...",1
VODAFONE - Talks the talk but doesn't walk the walk!,"After years as a Vodafone customer I'm just about to dump them...here's the story, I'm on the $45 per month infinite plan.This plan provides only 1.5 GB of data. it does not provide 300 minutes of standard overseas calls.The current red $50 plan advertised on the Vodafone webpage provides 300 minutes of standard overseas calls and 3 GB of data additionally as a special offer available until the 9th of April there is a further discount of $5 and an additional 1 GB of data making the final offer available at $45 per month with 300 minutes of standard overseas calls and 4 GB of data.

I called Vodafone and asked to switch to the new advertised $50 red plan which provides much mote than my current plan. I spoke  to a young lady by the name of Sara at the call center in Hobart. Sara was well spoken and tried to help however she advised the the offer on the Vodafone web page is available to new customers only and not available for existing customers. This seemed unreasonable and unfair from a company which has faced lots of customer criticism and displeasure in the past. Interestingly in the Age today 31 March there is an article in which Vodafone states  ""Vodafone Australia vows to reverse 'Vodafail' by the end of 2015"" It is obvious that Vodafone has no clue about retention marketing and keeping existing customers happy but rather is simply focused on acquisition marketing sucking in more new customers by new offers which are NOT available to existing customers. Once they attract new customers it seems Vodafone relegates them to a category different to one reserved for potential customers. Anyway Sara advised that she needs to obtain authorization from a supervisor before she can extend the same offer available on the Vodafone webpage to me.  After a long wait Sara advised me that Phoebe the supervisor will NOT honor the $50 red package and confirmed that the offer is available only to new customers.  I then asked Sara to speak to Phoebe again and point out that her position is not logical or good business, this she did and again confirmed NO can do.  I then asked if I can cancel my existing plan and resign on the $50 red plan, after some hesitation Sara said that there are two departments involved in this process and that I would lose my existing number if I attempted this!  at this stage I was defeated and gave up.  I'm now looking at plans with other providers and so is my partner who is in the same situation with Vodafone.

Once again EPIC FAIL by Vodafone.",1
Vodafail Returns!,"With voice mail drop outs, contact disappearances and phone staff that still don't speak enough English to understand the problem, I think that Vodafail is alive and back to frustrate anyone still using it. Wish they spent the Ad money on hiring more English speaking technicians!",1
Terrible From Start to Finish,The worst network in Australia. They are almost criminal in the way they conduct business! Very nice to you in store but offer 0 service over the phone! I wonder how long they will last.,1
Vodafone has been great... I don't understand the bad reviews?,"I moved over to Australia from the UK 18 months ago. In the UK, Vodafone is a fantastic service provider, so naturally, when I saw it was available in Australia I was immediately attracted!Vodafone Australia also appeared much cheaper than optus and telstra. Work colleagues told me not to go with Vodafone because they were rubbish, so I ended up grabbing a Virgin prepaid.... Now THAT was rubbish! Call drop outs and slow data speeds... and expensive calls overseas.So... I decided to ignore everyone and give Vodafone a go. I signed up for a sim only service about 6 months ago. It's $50/month and I get unlimited calls in australia, unlimited text even back to the UK and 3GB internet... plus 300mins overseas calls!!! AND its been great. I haven't experienced the poor reception I was warned about. 
This leads me to the question: Why does everyone have such a problem with Vodafone? 
For me they are fantastic.
I live on the Sunshine Coast in QLD.",5
I'm loving my Vodafone!,"Well this is my experience within the last 3 years.I was with Telstra for a number of years and got sick to death of being ripped off and experiencing what I deemed to be very average 3G and later 4G data speeds on my iphone.  My contract was up so I went to Optus as it was slightly cheaper.  I had to cancel my Optus contract straight away as there was ZERO coverage at my home address in Hope Island on the Gold Coast.  Unfortunately I lived in a pocket with no coverage.  Not sure why they even sold it to me in the first place.  I reluctantly went back to Telstra Prepaid for a while as I was sick to death of the whole thing.  We then moved to Brisbane and I decided to give Vodafone a go. I'd heard from friends etc their network was rubbish, but I signed up knowing they would cancel my contract within 30 days if there was a problem with their coverage.  

I've now been with Vodafone for over 10 months and I'm loving it!  My partner's iphone is on Telstra 4G and the data speeds received are just pathetic, in fact my Vodafone 4G phone leaves Telstra for dead.  Additionally my Vodafone leaves my iinet (Telstra) home broadband for dead.  I travel all throughout Brisbane and the Gold Coast and I would be deemed to be a medium phone user and a medium/heavy data user.  I've always been able to get online when out and about throughout Brisbane and the Gold Coast and can only recall a couple of call drop outs in over 10 months.  I understand that if I head out of Brisbane into country areas I will likely not have much in the way of coverage, but I don't go to these areas, so I'm not concerned about that.

I don't understand all the negative reviews on here.  For me Vodafone has been cheaper, it's significantly faster than anything I've ever owned previously, and the customer service for my plan is (I think) based in Australia.  We head overseas to the US and NZ and I really like the $5 a day to use my phone overseas, as if you were using it at home.",5
Worst internet on the Planet...,"When signing up to these folks you'll soon realise that it was best to use a couple of paper cups and a very long piece of string.... because your gonna get a hell of a lot better service from it than turning your phone into an overly expensive ""micowave"" that really cooks your meat rather than delivering the internet....",1
the worst ever provider you can sign up with,"Hi everyone, let me tell you about my experience with Vodafone, I cancelled my account with Vodafone over 3 yrs ago due to there total incompetence, two days ago I received 4 calls from a number identifying themselves as Vodafone, also a friend that was used as a contact was also called looking for my contact details... I phoned Vodafone, 8 calls later I finally got a person smart enough that could ID me from my licence, you see I couldn't remember a pin from 5yrs ago (when I signed up)...  I have been told that vodafone did not make the call... ok if that is the case how did the person trying to contact me also have the details of person I used as a contact when I signed up years ago. I believe that if Vodafone didn't make the call than they have given or sold my personal details... of course Vodafone denies, the final kick to the guts here is that Vodafone is now telling me that because I am not a customer with them they Will not generate a escalation number for me so that I can contact the ombudsmen and take this further...  Think twice about signing up with this mob please.",1
Good Service,I have been with Vodafone for just over 18 Months and I am happy with their coverage.  I am using their AU$ 100 red mobile phone plan and 25GB mobile broadband plan. I get unlimited Oz calls and 300 mins overseas calls ( the only downside is quality of the international calls).I am very happy with Vodafone broadband speeds and also haven't had any issues when liaising with Vodafone red care team.,4
the customer is easy money?,"Hi,I had 2 mobile. One is mine and another for my wife. When My wife go to oversea. I explained I had had a suspension service before, and need one more if possibleI knew the policy is that only onetime can apply in the contract.When I explain the situation,they said no problem!! Sir. It sounds easy to help me out.1 month later, they charge me a full fee.And I asked them why. They said the policy declined it.  No one noticed me it had declined.p a promise. 
The Complain service also doesn't help anything about that company default. Just saying sorry and understand this And ask me that is ever thing solve out today?  XXit...
I want to keep an promise which you said.",1
Just plain fraud,"I am on a minimal plan with Vodafone! I am a retired person, do not make many calls (no more than 10 a month) because our home phone is a VoIP service, which is totally free.....no line rental and no call charges, so we tend to use that rather than the mobile. I deliberately disable the data, and only connect it to send a picture sms so there is no internet use on this phone!Every couple of months I receive a text from Vodafail telling me I have used up my monthly credit allowance well before the end of that months billing cycle, and invariably receive a bill for an amount half as much again as my plan amount. It's not a major amount, (only $10.00 or so) but it's annoying. 
Months ago I started to keep a track of my outgoing phone activity once Vodafail said I had reached my allowance. To my surprise I discovered I was being billed for calls I had not made to numbers that I do have phone contact with! How could this be???

A few months later the same thing happened again......On 30th Nov 2014 at 10.40am I received an SMS from Vodafone telling me I had reached my monthly allowance, and my plan would not reset until 5/12/14! So at that point I stopped using the phone for any out going calls or sms. When the bill came for that month, there again was this activity I was being billed for, but not making. At this point I took the phone to a competent technician who examined the phone and verified that the phone log, as stored by the phone was correct and had not been tampered with! 
Armed with this information I have waited for the same thing to happen again, and sure enough, this month the same thing. Vodafone notified me on the 27th Feb that I had used my plan limit and (as always) suggested I should increase my plan to avoid higher usage charges. From that point until today (5/03/15 when my plan resets) I have not used the phone for any outgoing calls and only one outgoing sms. Once again I will have the technician check the phone's data log. When the bill comes, if they are true to form and charge for additional calls over that past 6 days I am going to immediately hand everything over to a solicitor to take action against Vodafone....This is Fraud...nothing less. This is systemically charging people for service not provided and that is fraud, it's as simple as that. I urge all users of Vodafones service to check their itemised bills...I am sure I am not the only person this is happening to. This could well be the impetus for a class action!",1
Do not sign up or you will be SORRY!,"I also just received a bill saying that I have overused data usage, although I have been very careful and keen to monitor my usage. After spending long time to eventually get hold of their customer service (the worst of all phone provider in Australia), I explained to her about my good history of using within my data usage and requested for her help to see whether she could check whether this was a mistake from the usage data collection or could do anything to this so-called ""excessive usage"", which was very difficult for us, a customer to prove.  Disappointedly, she was keen to insist that they were RIGHT in generating the invoice and offer me 2 OPTIONS: 1 to pay the bill accordingly or 2. to ""Change the current plan to a more expensive one"".  I was so upset to hear this and dispute that this was a cheating and misleading of alluring Vodafone customer to ""upgrade"" the plans.  She denied using the word ""Upgrade"" but keep saying that she wanted me to ""Change"" my current plan to a more expensive one. Extremely UPSET and DISGUSTING !  What a cheating altitude and misleading commercial approach!  She did not even care a bit when I told her I would quit using Vodafone for good.  What a worst ever customer service! I really feel sorry for her boss.  Promised - Will never use Vodafone again !  Be careful and take this advise for every Vodafone new users!  I suggest every complaint users herein should lodge our complaint to Telecommunication Ombudsman to highlight this bad provider in Australia.",1
vodafone stinks in wyndham vale 3024,"hi, just wanted to voice my complaint regarding vodafone. went to my local allphones store at werribee i asked the storeman how the reception was in wyndham vale, he responded with the reception in wyndham vale is perfect and stated he personally knew people in my area that use vodafone and said thay said the reception is great. after the advive i recived of the storeman i perchist a samsung s4 on a 24 month plan around november 2014 thinking i was on a winner. BUT FAR FROM winning after getting home, maybe two reception bars on a good day if i sat it on the window seal then when i got an incoming call comes in the reception drops to zero and the phone makes stupid noises in which the other person on the other line hears to. just thay cant hear me. not just that the samsung i was given it self a couple of months after getting it never been droped or wet, then they replaced it for me with a referbished phone that has now died one day after getting it. and thay say i have bucklies of canciling my contract. if u have this problem aswell go on to google and type in (tio) to make a complaint as that is what i will be doing thay are your best bet to make the complaint to.",1
Do Disappointed,"Do not trust Vodaphone! They overcharge, bad customer services, unreliable, do not inform you for anything. They say one thing, in order to gert you as a customer, but they do the opposite.",1
No good.,Looking at my bill and noticed they didn't credit me $10 like they were suppose to...not going on about the sum but the shonkiness of this company.  Been with them for 4years and I'm leaving them for good very soon. Fed up!,1
Soooo disappointed,"I received a text from Vodafone stating that I'd breached there fair use policy in regard to unlimited data weekends and would have my service suspended as a consequence.   After 3 hours of talking and being transferred between departments I reached the manger of the serious complaints department to have him tell me they would not b assisting me,  yet not one person could tell me how I breached there policy.I'm now changing providers and will never deal with them again",1
Should be CLOSED down! Beware of the con artist management!,"DATA Allowance Issue!!ng my matter and awaiting for an answer.

Be aware of the con artist management and they have failed to resolve this issue! Customer service staff are okay but they have NOT been able to help. 

Do NOT sign up and spit on Vodafone when you see their ad anywhere. I only wish this company become bankrupt and closed from this country forever!!!!",1
worst phone company i have ever been!!,Got this $40 monthly plan with 2.5gb data and after 4 months my bill was raised by nearly $60!!!!Called the company several times.....and they said they could not understand why I got that plan and cannot honour what was promissed.This company is so unprofessional.... SCAM. Do not recommend!!!@Open your eyes people.,1
Customer Service is worst!!!!!!!!,I was asking them for the excess data that was been charged in my account which i am not using it and have to pay it more than $40 for just 300 MB they said and the customer service i was talking to was arguing with me and just put on hold  for a ages this is really not good even their coverage is not good at some point. I will never continue my plan with them so please if you are reading this do not attempt in getting a plan with them... What a waste of money!!!!!!!!,1
100% Crap,Its ok but the over the phone sevice is crap word of advice get staff that speak english  other than that its not bad but if you ever have a problem with your phone lets just say i hope you know how to speak  a foriegn language !!!,1
Terrible customer service - complete ripoff,"I have been ripoff by vodafone for excess usage. every month i end up paying extra $50 to vodaphone for either excess data, phone or add-on services.. i have to spend lot of time with them over the phone explaning the issue and goes on and on.. i am stuck with 24 months contract.",1
A company with no morals,The most robotic customer service staff I have ever dealt with. Team that up with a complete rip off of a service and you get Vodafone. Sadly after 4 years with the company and a hope that they will improve through me being a loyal customer that has always paid in full and on time I have never made a better decicion than leving.,1
Been with them for over 4 year,They blocked my service after not paying 2 bills after I have payed on time for the last 4  years would except better service also my dad is with him prepaid and has an old handset and sends him free stuff for Internet usage but he has no internet they should know this so lame of them,1
Terrible service,"They offer the worst service in Australia. Customer service is a joke for them. Waste of your Money..Please don't do business with Vodafone , you gonna regret it as I did.they have the rudest people in the call centre and they don't listen to you . Damn I will never suggest anyone to take their service .",1
Terrible Service and Relations,"I was with Vodaphone and I have finally managed to get away from this company.After countless service drop outs and refusal of help by their ""technical support staff"" my contract has finished.",1
Don't waste your time,Vodafone would have to be the worst phone company I have ever had and I have tried them all. Your lucky if you get a operator that speaks English and then they don't care if they have made a mistake I was told to find another phone company if I didn't like it. After 10 year's goodbye Vodafone,1
Last time ever I use vodafone,No benefits for old customers . New customers get the better deals and top of that the reception is terrible in many places,1
they compare to much to their competitors,They are the worst ever they think they own the place and have the best customer service and 4G network the fastest in Australia lies their network is slow the 4g is crap and they make up so much lies saying they have the fastest only tho telstra has the fastest 4g network second optus has good customer service been with them since early 2013 had not one probelm optus is better than vodafail,1
Stealing your money!,"Back when the Samsung Galaxy Note Edge came out, I ordered one online. they were getting it so I went back to them. 

I did the same by ordering on with optus and refused to sign for courier and I didn't get charged for it. 

Vodafone should be only a last resort. Better yet, might as well not own a phone.",1
Don't even consider,"Never use vodafone. Especially for its data package. When we excess the data, even though it's just very few bytes, they'd charge for another unreasonable extra. It happened twice, first time, I was charged $400 for probably 400mb because the notification was late and I didn't know that I have to always check the online version so I complained about it, they said they'd give me discount but it never happens. I decided to went for another plan of $10 1GB and the second incident happened, I was charged $50. I don't know why but I always keep my eyes on my data usage and well, I thought it's okay because there was 100mb left and the next day I purchased another gigs but somehow their system didn't recognise it on time or whatever and they said they can't do anything about it.",1
'Vodaphone' is a disgusting service.,My dad and mum were struggling to pay a bill we  had to call them every day but nothing happened.when we went to the post office we phoned them every day and they said it will take 24 hours.,1
Vodapone user and happy,I have been using vodafone for 3.5yrs and have been really happy. Very cheap for unlimited calls.Vodafone has a map which shows where there reception is bad. If you live near or in that area then go with another provider.I have never had to use customer service so can't comment,4
"Appalling Service, absolute bunch of circus clowns","In my experience Vodafone are a complete joke when it comes to customer service. That automated customer service is completely useless and when you make a few errors, instead of transferring you to a real life customer service officer, it says is can't understand you and hangs up. They are stingy, their service availability is average and they just do not understand the importance of consumer loyalty or consumer word of mouth. Every chance I get, I make sure to tell anyone and everyone how poorly run the organisation is. I am a lazy person, so writing this and changing my service provider really shows how frustrated and disillusioned I am by them. F!@# Vodafone.",1
Expected feedback on my complaint.,They just send repepetitive/scripted reply if you complain through email.'The complaint had been dealt with by sending to the relevant people......we can't give you feedback for the privacy of the staff'. How will the customer know the outcome if they don't give feedback? This is very discouraging on part of the customer especially if you experienced dealing with arrogant store manager.,1
Worst company in Australia,They offer the worst service in Australia. Customer service is a joke for them. They offered me one mobile phone plan and they are charging me a completely different one. After speaking with multiple managers (everyone is called a manager of something and they are all in other parts of the world) their answer is that I'm unlucky and that I have to pay whatever they charge. Worst experience ever,1
Disgusting attitude to customers,"Bought a Mobile USB which didn't work. Attempted to have it fixed and resolutions team just ignore requests and then keep asking for information already provided 10 times over. Their only focus is how to close their file without doing anything. If you get a resolutions team member named Jacob, he is a liar and a moron.",1
I've had a great experience with Vodafone,"I've been with Vodafone for several years now, and after another great phone call with them, I've decided to post some feedback. Yes, it seems the call centre may be based outside of Aus.. so what? I've had years of good customer service, consistently. Reception is great, plans are great, I can't fault Vodafone.",5
The worst company I have ever dealt with,"I have recently moved house and vodafone sent my bill to the old address and it went missing. And they did not communicate further with me until further few months where they have put my accounts directly into default and get a debt collector company to chase me for payment and it is only for $101 that I have been paid since but they have put a default on my credit rating and it won't be cleared until 2019!! Thank you so much, that is a very poor treatment for customer and I would never recommend anyone to take on their service.",1
Worst experience ever,"Please don't do business with Vodafone , you gonna regret it as I did.they have the rudest people in the call centre and they don't listen to you . Damn I will never suggest anyone to take their service .",1
Never go with Vodafone,"Hi Vodafone teamodafone / 3 for 7-8 years now, loyal even when they cut out occasionally and can't call due to no reception. Oh wait, that doesn't show if you don't call anyone, so doesn't count in Vodafone's eyes. When I raise an issue I get pushed to the side.

If I ever moved back to Melbourne I might have gone back with Vodafone, but the service and struggle to get out of my contract is ridiculous. I hope someone in Vodafone can help me and I really hope future customers reads this post.

From an unhappy customer",1
5 star experience for me!,"I've used telstra, optus, boost mobile, virgin, and vodafone over the past 10 years, and vodafone has by far been the stand out for me. Sure, you won't get coverage like telstra and optus provide, but for those who reside in the metro area, this really isn't a concern. I've gotten the best value, and although I haven't really had too many concerns that needed dealing with over my time with them, I've found the customer service absolutely fine. Would recommend.",5
Worst customer service,"Okay I've  been with Vodafone for almost two years. recently I went to a trip to the US and before I left I turned on this 5-dollar oversea roaming feature and called to make sure it'd work for me. Well it didn't. There was full bar but every time I tried to make a call the phone always said something like ""not register on network"".ame me that I didn't turned on the data roaming feature on the phone (which i did but the problem was not able to call), then he said to me he couldn't help me because I didn't call in the US, which almost sounded like it's my fault.

Anyway Vodafone probably should train their customer service a bit better than this. Next year I am switch to Telstra.",1
"Run , Run as fast as you can ..donâ€™t look back","Just had the worst experience dealing with Vodafone India and Iâ€™m in Australia ,after trying to explain to a person in India as to why my usage was all used up with in 5 hours  the so called customer service person wanted to cancel the call after saying I was using profanity , while this call was recorders there was no profanity used at all I was so discussed by this service, to accuse me of using profanity I was discussed,  all I ask was what was sucking down my data and this was the extent of the profanity .My first call on Monday morning is to cancel my Vodafone account and go with some one that has much better customer service in Australia.",1
The Worst: Do not use Vodaphone (Zero stars -if it was an option above),"Everything about the ""service"" is bad: they overcharge, add their bills incorrectly - if they disclose them - change your plan incorrectly, their software doesn't work, they don't correct problems that arise, even after repeated requests - even with the telecommunications ombudsman involved.",1
Unstatisified,when I buy plan their condition of call are different .. When I bought it reality is different ! Unhappy with service . Getting no service .loking for another company . ..Vodafone unlimited plan is ... ?,1
Awful - be very careful,"Their prices are excellent; however, there service is rubbish. People in the stores are constantly adding services without talking to you first. Frankly they are overworked and under trained so they don't know what they are doing.  Phone support is also terrible.  It takes then weeks to accomplish simple tasked and you need to constantly follow up with them.  The problem with contacting them is you run the risk of their fix just making things more worse.  They are awful.",1
Worst provider of all. Bad customer service. Avoid at all cost!,"I have been with Vodafone for 4 years (before I switch to Telechoice) and my wife have been with them for 1.5 years (still in contract but will terminate soon!). The biggest issue they have is reception and not price competitive. I was trying to get my wife out of Vodafail since she hardly have any reception in Melbourne CBD buildings (i.e. QV, Melbourne Central station, Emporium) to the point that we can't contact each other. I had the same issue working in South Yarra when I used Vodafone. When I'm with her I have full reception with Telechoice since they use Telstra network while my wife doesn't get any reception whatsoever. We decided we've got enough of this so we requested a fair contract termination. We said we're happy to pay for the amount we owe for the phone but not for the service charge (we didn't even request compensation but fair termination) but it got rejected due to so called ""company policy"" so we have to pay the full exit fee. Very unhappy and I will never recommend this company to anyone else.",1
Horrible service coverage and even worse customer service,"If there was an option for zero stats i would give -2. The service coverage is horrific. Calls wont connect. They drop out constantly or the person on the other end can't hear you. To make matters worse, you call vodafone telling them you arent getting the service your require and they dont believe you. They come back to you with ""our intelligent analysis software tells us otherwise."" why would we wait 45mins on the line with customer care to tell them lies?? Dont even think about entering a contract with vodafone.",1
Vodafone Customer Service,Incompetent instore & supervisor customer service.  Inaccurate information led being without phone for potentially 10 working days.  Useless incompetent patronising,1
Vodafone going Good,"I like vodafone, I'll keep supporting nd be with vodafone bcz they giving much calls in reasonable price.. . .",1
Vodafone SIM card activation and customer service is slow.,When I tried to get a  new phone number and activate my new Vodafone SIM card I was told I would receive a text in about half an hour with my new phone number. After stating I needed it sooner I was told The actual time to  receive the new number would be within 24 hrs. The activation went ahead .After considering this for about an hour I rang Vodafone customer service back to say I needed to have the new phone activated  by the end of the day or cancelled. Customer service told me this was not possible and if I wanted it actioned quickly I would need to purchase a new SIM card.Why I was not offered quick activation in the first place Remains a mystery. It was difficult dealing with a customer service based in Mumbai with  a heavy foreign accent.,1
